2026-01-19T22:11:45+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:11:47+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:11:49+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:11:51+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:11:53+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:11:55+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:11:57+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:11:59+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:01+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:03+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:05+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:07+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:09+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:12+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:13+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:15+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:17+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:19+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:21+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:24+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:25+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:27+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:29+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:31+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:33+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:35+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:37+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:39+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:41+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:43+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:45+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:47+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:49+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:51+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:54+01:00,APPROVED,55.00,Within safe parameters
2026-01-19T22:12:55+01:00,APPROVED,55.00,Within safe parameters
