2026-01-16T21:38:16+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:17+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:18+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:19+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:20+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:21+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:22+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:23+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:24+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:25+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:26+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:27+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:28+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:29+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:30+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:31+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:32+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:33+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:34+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:35+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:36+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:37+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:38+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:39+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:40+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:41+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:42+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:43+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:44+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:45+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:46+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:47+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:48+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:49+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:50+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:51+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:52+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:53+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:54+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:55+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:56+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:57+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:38:58+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:38:59+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:00+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:01+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:02+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:03+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:04+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:05+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:06+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:07+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:08+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:09+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:10+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:11+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:12+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:13+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:14+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:15+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:16+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:17+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:18+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:19+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:20+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:21+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:22+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:23+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:24+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:25+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:26+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:27+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:28+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:29+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:30+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:31+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:32+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:33+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:34+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:35+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:36+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:37+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:38+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:39+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:40+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:41+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:42+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:43+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:44+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:45+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:46+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:47+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:48+01:00,user_1,55.00,0.00,Skipped,normal
